category	word	link on verb	link on VP
vbz	download	0	1
vb	push	0	1
vbg	liveblogging	0	1
vb	hack	0	1
vbp	own	0	1
vbp	preach	0	1
vb	reveal	0	1
vbn	asked	0	1
vbg	placating	0	1
vbn	debated	0	1
vbz	respects	0	1
vbg	advocating	0	1
vb	finish	0	1
vbn	solved	0	1
vbg	supporting	0	3
vbd	required	0	1
vb	insert	0	1
vbn	added	0	1
vbp	go	0	1
vbn	resumed	0	1
vbd	recommended	0	1
vbz	writes	0	1
vbg	preaching	0	1
vb	spread	0	1
vb	inspire	0	2
vbg	surfing	0	1
vb	be	0	3
vbg	paddle	0	1
vbz	usgs	0	1
vbg	loving	0	2
vb	add	0	3
vb	spare	0	1
vbz	befriends	0	1
vb	cnet	0	1
vbg	pushing	0	1
vbz	buys	0	1
vbg	outselling	0	1
vb	design	0	1
vbd	trashed	0	1
vb	slap	0	1
vbz	determines	0	1
vb	cross	0	1
vbz	beats	0	2
vbg	catering	0	1
vbn	uncontained	0	1
vbn	unveiled	0	1
vbg	enjoying	0	2
vb	browse	0	1
vbd	lamented	0	1
vbg	turning	0	1
vbg	lobbing	0	1
vb	jodie	0	1
vbd	vetoed	0	1
vbp	bis	0	1
vbg	weng	0	1
vbg	amassing	0	1
vbg	showing	0	1
vb	arrest	0	1
vbp	experience	0	1
vbn	amoeboid	0	1
vbd	perceived	0	1
vb	indicate	0	1
vbg	predicting	0	1
vbz	shows	0	1
vb	reinterpret	0	1
vb	overwhelm	0	1
vbn	done	0	1
vbg	unlike	0	1
vbd	fired	0	1
vbg	striking	0	1
vb	sell	0	2
vbg	akonting	0	1
vbg	confronting	0	1
vbg	manning	0	1
vbp	kill	0	1
vbz	requires	0	1
vbd	started	0	1
vbz	starts	0	1
vbg	inviting	0	1
vbz	ponders	0	1
vbg	reinventing	0	1
vbp	discover	0	1
vbg	assaulting	0	1
vb	sock	0	1
vbg	disclosing	0	1
vb	raise	0	2
vb	mitigate	0	1
vb	marauding	0	1
vbg	vinnie	0	1
vbz	grand	0	1
vbn	used	0	1
vb	throw	0	1
vbg	snoring	0	1
vbz	celebrates	0	1
vbd	nominated	0	1
vbg	flying	0	1
vbg	refusing	0	1
vbd	appointed	0	1
vbn	outraged	0	1
vbn	droned	0	1
vbn	enraged	0	1
vbn	died	0	1
vbg	downing	0	1
vbn	turned	0	1
vbz	manages	0	1
vb	let	0	1
vb	classify	0	1
vb	boycott	0	1
vb	please	0	1
vbd	attempted	0	1
vbg	keeping	0	2
vbg	looking	0	1
vbn	limewood	0	1
vbg	bringing	0	1
vbd	kicked	0	1
vb	qat	0	1
vbg	weighing	0	1
vbz	loses	0	1
vbz	raises	0	1
vbp	join	0	1
